Iteration,Fitness,Test Cases
0,0.7497479999999999,24
1,0.7512559999999998,39
2,0.7512559999999998,61
3,0.7512559999999999,87
4,0.7523799999999998,122
5,0.7523799999999998,146
6,0.752496,165
7,0.752496,192
8,0.752496,214
9,0.752496,236
10,0.7525439999999999,261
11,0.7532439999999998,284
12,0.7532439999999998,304
13,0.7532439999999998,329
14,0.7532439999999998,349
15,0.7532439999999998,370
16,0.7532439999999998,393
17,0.753792,417
18,0.7552399999999999,440
19,0.7553719999999998,462
20,0.7553719999999998,487
21,0.7553719999999998,513
22,0.7553719999999998,541
23,0.7553719999999998,563
24,0.7553719999999998,581
25,0.7553719999999998,607
26,0.7553719999999998,630
27,0.7553719999999998,651
28,0.7553719999999998,673
29,0.7553719999999998,697
30,0.7553719999999998,716
31,0.7556439999999999,736
32,0.756336,756
33,0.7574440000000001,776
34,0.757944,803
35,0.7580520000000002,821
36,0.7585560000000001,846
37,0.7585560000000001,863
38,0.7585560000000001,887
39,0.7587479999999998,912
40,0.7588159999999998,939
41,0.7589799999999998,965
42,0.7596479999999999,985
43,0.7603559999999997,1016
44,0.7609559999999997,1039
45,0.7614519999999999,1065
46,0.7614519999999999,1090
47,0.7614519999999999,1113
48,0.7614519999999999,1134
49,0.7614519999999999,1161
50,0.7616559999999999,1187
51,0.7622159999999998,1206
52,0.763848,1227
53,0.7643679999999999,1254
54,0.7643679999999999,1277
55,0.764968,1304
56,0.764968,1329
57,0.764968,1353
58,0.7651519999999999,1375
59,0.7651519999999999,1398
60,0.7651519999999999,1417
61,0.7651519999999999,1438
62,0.7651519999999999,1463
63,0.7658399999999999,1490
64,0.766092,1515
65,0.7661960000000001,1537
66,0.7661960000000001,1559
67,0.7662160000000001,1583
68,0.7662160000000001,1603
69,0.7662439999999999,1626
70,0.7662439999999999,1646
71,0.7671039999999999,1674
72,0.7671039999999999,1697
73,0.7681800000000001,1721
74,0.7681800000000001,1743
75,0.7681800000000001,1762
76,0.7681800000000001,1785
77,0.7681800000000001,1807
78,0.7692440000000001,1828
79,0.7692440000000001,1853
80,0.7692440000000001,1876
81,0.7692440000000001,1895
82,0.7692440000000001,1920
83,0.7692440000000001,1944
84,0.7692440000000001,1971
85,0.7692440000000001,1994
86,0.7692440000000001,2017
87,0.7692440000000001,2039
88,0.7692440000000001,2064
89,0.7692440000000001,2085
90,0.7692440000000001,2101
91,0.7692440000000001,2122
92,0.7692440000000001,2142
93,0.7692440000000001,2163
94,0.7692440000000001,2190
95,0.7692440000000001,2214
96,0.7692440000000001,2238
97,0.7692440000000001,2262
98,0.7692440000000001,2289
99,0.7692440000000001,2313
100,0.7692440000000001,2330
101,0.7692440000000001,2355
102,0.7692440000000001,2380
103,0.7692440000000001,2403
104,0.7692440000000001,2426
105,0.7692440000000001,2447
106,0.7692440000000001,2467
